OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Total,97 years,Immigrants from non-western countries,2015Q1,10
All Denmark,Total,98 years,Immigrants from non-western countries,2015Q1,7
All Denmark,Total,99 years,Immigrants from non-western countries,2015Q1,10
All Denmark,Total,"Age, total",Immigrants from non-western countries,2015Q1,290333
All Denmark,Total,0 years,Immigrants from non-western countries,2016Q1,181
All Denmark,Total,1 year,Immigrants from non-western countries,2016Q1,711
All Denmark,Total,10 years,Immigrants from non-western countries,2016Q1,1507
All Denmark,Total,100 years,Immigrants from non-western countries,2016Q1,7
All Denmark,Total,101 years,Immigrants from non-western countries,2016Q1,2
All Denmark,Total,102 years,Immigrants from non-western countries,2016Q1,2
All Denmark,Total,104 years,Immigrants from non-western countries,2016Q1,1
All Denmark,Total,105 years,Immigrants from non-western countries,2016Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2016Q1,1435
All Denmark,Total,12 years,Immigrants from non-western countries,2016Q1,1367
All Denmark,Total,13 years,Immigrants from non-western countries,2016Q1,1333
All Denmark,Total,14 years,Immigrants from non-western countries,2016Q1,1351
All Denmark,Total,15 years,Immigrants from non-western countries,2016Q1,1611
All Denmark,Total,16 years,Immigrants from non-western countries,2016Q1,1907
All Denmark,Total,17 years,Immigrants from non-western countries,2016Q1,2336
All Denmark,Total,18 years,Immigrants from non-western countries,2016Q1,2601
All Denmark,Total,19 years,Immigrants from non-western countries,2016Q1,2765
All Denmark,Total,2 years,Immigrants from non-western countries,2016Q1,1066
All Denmark,Total,20 years,Immigrants from non-western countries,2016Q1,3268
All Denmark,Total,21 years,Immigrants from non-western countries,2016Q1,3918
All Denmark,Total,22 years,Immigrants from non-western countries,2016Q1,3943
All Denmark,Total,23 years,Immigrants from non-western countries,2016Q1,4783
All Denmark,Total,24 years,Immigrants from non-western countries,2016Q1,5500
All Denmark,Total,25 years,Immigrants from non-western countries,2016Q1,6479
All Denmark,Total,26 years,Immigrants from non-western countries,2016Q1,6984
All Denmark,Total,27 years,Immigrants from non-western countries,2016Q1,7628
All Denmark,Total,28 years,Immigrants from non-western countries,2016Q1,7961
All Denmark,Total,29 years,Immigrants from non-western countries,2016Q1,8149
All Denmark,Total,3 years,Immigrants from non-western countries,2016Q1,1273
All Denmark,Total,30 years,Immigrants from non-western countries,2016Q1,8408
All Denmark,Total,31 years,Immigrants from non-western countries,2016Q1,8531
All Denmark,Total,32 years,Immigrants from non-western countries,2016Q1,8260
All Denmark,Total,33 years,Immigrants from non-western countries,2016Q1,8152
All Denmark,Total,34 years,Immigrants from non-western countries,2016Q1,7819
All Denmark,Total,35 years,Immigrants from non-western countries,2016Q1,7808
All Denmark,Total,36 years,Immigrants from non-western countries,2016Q1,7286
All Denmark,Total,37 years,Immigrants from non-western countries,2016Q1,7264
All Denmark,Total,38 years,Immigrants from non-western countries,2016Q1,7003
All Denmark,Total,39 years,Immigrants from non-western countries,2016Q1,6853
All Denmark,Total,4 years,Immigrants from non-western countries,2016Q1,1388
All Denmark,Total,40 years,Immigrants from non-western countries,2016Q1,6784
All Denmark,Total,41 years,Immigrants from non-western countries,2016Q1,6852
All Denmark,Total,42 years,Immigrants from non-western countries,2016Q1,6559
All Denmark,Total,43 years,Immigrants from non-western countries,2016Q1,6695
All Denmark,Total,44 years,Immigrants from non-western countries,2016Q1,6190
All Denmark,Total,45 years,Immigrants from non-western countries,2016Q1,6962
All Denmark,Total,46 years,Immigrants from non-western countries,2016Q1,6631
All Denmark,Total,47 years,Immigrants from non-western countries,2016Q1,6677
All Denmark,Total,48 years,Immigrants from non-western countries,2016Q1,6147
All Denmark,Total,49 years,Immigrants from non-western countries,2016Q1,6224
All Denmark,Total,5 years,Immigrants from non-western countries,2016Q1,1525
All Denmark,Total,50 years,Immigrants from non-western countries,2016Q1,6207
All Denmark,Total,51 years,Immigrants from non-western countries,2016Q1,6044
All Denmark,Total,52 years,Immigrants from non-western countries,2016Q1,5558
All Denmark,Total,53 years,Immigrants from non-western countries,2016Q1,5418
All Denmark,Total,54 years,Immigrants from non-western countries,2016Q1,4815
All Denmark,Total,55 years,Immigrants from non-western countries,2016Q1,4966
All Denmark,Total,56 years,Immigrants from non-western countries,2016Q1,4146
All Denmark,Total,57 years,Immigrants from non-western countries,2016Q1,3954
All Denmark,Total,58 years,Immigrants from non-western countries,2016Q1,3522
All Denmark,Total,59 years,Immigrants from non-western countries,2016Q1,3504
All Denmark,Total,6 years,Immigrants from non-western countries,2016Q1,1560
All Denmark,Total,60 years,Immigrants from non-western countries,2016Q1,3176
All Denmark,Total,61 years,Immigrants from non-western countries,2016Q1,2815
All Denmark,Total,62 years,Immigrants from non-western countries,2016Q1,2581
All Denmark,Total,63 years,Immigrants from non-western countries,2016Q1,2415
All Denmark,Total,64 years,Immigrants from non-western countries,2016Q1,2032
All Denmark,Total,65 years,Immigrants from non-western countries,2016Q1,2104
All Denmark,Total,66 years,Immigrants from non-western countries,2016Q1,1887
All Denmark,Total,67 years,Immigrants from non-western countries,2016Q1,1785
All Denmark,Total,68 years,Immigrants from non-western countries,2016Q1,1638
All Denmark,Total,69 years,Immigrants from non-western countries,2016Q1,1461
All Denmark,Total,7 years,Immigrants from non-western countries,2016Q1,1692
All Denmark,Total,70 years,Immigrants from non-western countries,2016Q1,1400
All Denmark,Total,71 years,Immigrants from non-western countries,2016Q1,1172
All Denmark,Total,72 years,Immigrants from non-western countries,2016Q1,1099
All Denmark,Total,73 years,Immigrants from non-western countries,2016Q1,993
All Denmark,Total,74 years,Immigrants from non-western countries,2016Q1,859
All Denmark,Total,75 years,Immigrants from non-western countries,2016Q1,857
All Denmark,Total,76 years,Immigrants from non-western countries,2016Q1,750
All Denmark,Total,77 years,Immigrants from non-western countries,2016Q1,667
All Denmark,Total,78 years,Immigrants from non-western countries,2016Q1,578
All Denmark,Total,79 years,Immigrants from non-western countries,2016Q1,501
All Denmark,Total,8 years,Immigrants from non-western countries,2016Q1,1643
All Denmark,Total,80 years,Immigrants from non-western countries,2016Q1,486
All Denmark,Total,81 years,Immigrants from non-western countries,2016Q1,358
All Denmark,Total,82 years,Immigrants from non-western countries,2016Q1,352
All Denmark,Total,83 years,Immigrants from non-western countries,2016Q1,330
All Denmark,Total,84 years,Immigrants from non-western countries,2016Q1,265
All Denmark,Total,85 years,Immigrants from non-western countries,2016Q1,267
All Denmark,Total,86 years,Immigrants from non-western countries,2016Q1,205
All Denmark,Total,87 years,Immigrants from non-western countries,2016Q1,159
All Denmark,Total,88 years,Immigrants from non-western countries,2016Q1,156
All Denmark,Total,89 years,Immigrants from non-western countries,2016Q1,98
All Denmark,Total,9 years,Immigrants from non-western countries,2016Q1,1561
All Denmark,Total,90 years,Immigrants from non-western countries,2016Q1,114
All Denmark,Total,91 years,Immigrants from non-western countries,2016Q1,75
All Denmark,Total,92 years,Immigrants from non-western countries,2016Q1,51
All Denmark,Total,93 years,Immigrants from non-western countries,2016Q1,41
All Denmark,Total,94 years,Immigrants from non-western countries,2016Q1,23
All Denmark,Total,95 years,Immigrants from non-western countries,2016Q1,30
All Denmark,Total,96 years,Immigrants from non-western countries,2016Q1,6
All Denmark,Total,97 years,Immigrants from non-western countries,2016Q1,7
All Denmark,Total,98 years,Immigrants from non-western countries,2016Q1,8
All Denmark,Total,99 years,Immigrants from non-western countries,2016Q1,5
All Denmark,Total,"Age, total",Immigrants from non-western countries,2016Q1,314484
All Denmark,Total,0 years,Immigrants from non-western countries,2017Q1,105
All Denmark,Total,1 year,Immigrants from non-western countries,2017Q1,662
All Denmark,Total,10 years,Immigrants from non-western countries,2017Q1,1895
All Denmark,Total,100 years,Immigrants from non-western countries,2017Q1,4
All Denmark,Total,101 years,Immigrants from non-western countries,2017Q1,6
All Denmark,Total,102 years,Immigrants from non-western countries,2017Q1,1
All Denmark,Total,103 years,Immigrants from non-western countries,2017Q1,1
All Denmark,Total,105 years,Immigrants from non-western countries,2017Q1,1
All Denmark,Total,106 years,Immigrants from non-western countries,2017Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2017Q1,1799
All Denmark,Total,12 years,Immigrants from non-western countries,2017Q1,1703
All Denmark,Total,13 years,Immigrants from non-western countries,2017Q1,1636
All Denmark,Total,14 years,Immigrants from non-western countries,2017Q1,1569
All Denmark,Total,15 years,Immigrants from non-western countries,2017Q1,1634
All Denmark,Total,16 years,Immigrants from non-western countries,2017Q1,1995
All Denmark,Total,17 years,Immigrants from non-western countries,2017Q1,2262
All Denmark,Total,18 years,Immigrants from non-western countries,2017Q1,2720
All Denmark,Total,19 years,Immigrants from non-western countries,2017Q1,3022
All Denmark,Total,2 years,Immigrants from non-western countries,2017Q1,1301
All Denmark,Total,20 years,Immigrants from non-western countries,2017Q1,3369
All Denmark,Total,21 years,Immigrants from non-western countries,2017Q1,3935
All Denmark,Total,22 years,Immigrants from non-western countries,2017Q1,4588
All Denmark,Total,23 years,Immigrants from non-western countries,2017Q1,4694
All Denmark,Total,24 years,Immigrants from non-western countries,2017Q1,5661
All Denmark,Total,25 years,Immigrants from non-western countries,2017Q1,6321
All Denmark,Total,26 years,Immigrants from non-western countries,2017Q1,7290
All Denmark,Total,27 years,Immigrants from non-western countries,2017Q1,7707
All Denmark,Total,28 years,Immigrants from non-western countries,2017Q1,8335
All Denmark,Total,29 years,Immigrants from non-western countries,2017Q1,8579
All Denmark,Total,3 years,Immigrants from non-western countries,2017Q1,1536
All Denmark,Total,30 years,Immigrants from non-western countries,2017Q1,8677
All Denmark,Total,31 years,Immigrants from non-western countries,2017Q1,8917
All Denmark,Total,32 years,Immigrants from non-western countries,2017Q1,8918
All Denmark,Total,33 years,Immigrants from non-western countries,2017Q1,8636
All Denmark,Total,34 years,Immigrants from non-western countries,2017Q1,8483
All Denmark,Total,35 years,Immigrants from non-western countries,2017Q1,8138
All Denmark,Total,36 years,Immigrants from non-western countries,2017Q1,8077
All Denmark,Total,37 years,Immigrants from non-western countries,2017Q1,7516
All Denmark,Total,38 years,Immigrants from non-western countries,2017Q1,7483
All Denmark,Total,39 years,Immigrants from non-western countries,2017Q1,7166
All Denmark,Total,4 years,Immigrants from non-western countries,2017Q1,1771
All Denmark,Total,40 years,Immigrants from non-western countries,2017Q1,7003
All Denmark,Total,41 years,Immigrants from non-western countries,2017Q1,6913
All Denmark,Total,42 years,Immigrants from non-western countries,2017Q1,6984
All Denmark,Total,43 years,Immigrants from non-western countries,2017Q1,6673
All Denmark,Total,44 years,Immigrants from non-western countries,2017Q1,6801
All Denmark,Total,45 years,Immigrants from non-western countries,2017Q1,6282
All Denmark,Total,46 years,Immigrants from non-western countries,2017Q1,7036
All Denmark,Total,47 years,Immigrants from non-western countries,2017Q1,6681
All Denmark,Total,48 years,Immigrants from non-western countries,2017Q1,6740
All Denmark,Total,49 years,Immigrants from non-western countries,2017Q1,6202
All Denmark,Total,5 years,Immigrants from non-western countries,2017Q1,1857
All Denmark,Total,50 years,Immigrants from non-western countries,2017Q1,6265
All Denmark,Total,51 years,Immigrants from non-western countries,2017Q1,6237
All Denmark,Total,52 years,Immigrants from non-western countries,2017Q1,6076
All Denmark,Total,53 years,Immigrants from non-western countries,2017Q1,5569
All Denmark,Total,54 years,Immigrants from non-western countries,2017Q1,5442
All Denmark,Total,55 years,Immigrants from non-western countries,2017Q1,4819
All Denmark,Total,56 years,Immigrants from non-western countries,2017Q1,4976
All Denmark,Total,57 years,Immigrants from non-western countries,2017Q1,4161
All Denmark,Total,58 years,Immigrants from non-western countries,2017Q1,3956
All Denmark,Total,59 years,Immigrants from non-western countries,2017Q1,3500
All Denmark,Total,6 years,Immigrants from non-western countries,2017Q1,1902
All Denmark,Total,60 years,Immigrants from non-western countries,2017Q1,3509
All Denmark,Total,61 years,Immigrants from non-western countries,2017Q1,3157
All Denmark,Total,62 years,Immigrants from non-western countries,2017Q1,2822
All Denmark,Total,63 years,Immigrants from non-western countries,2017Q1,2581
All Denmark,Total,64 years,Immigrants from non-western countries,2017Q1,2407
All Denmark,Total,65 years,Immigrants from non-western countries,2017Q1,2016
All Denmark,Total,66 years,Immigrants from non-western countries,2017Q1,2079
All Denmark,Total,67 years,Immigrants from non-western countries,2017Q1,1860
All Denmark,Total,68 years,Immigrants from non-western countries,2017Q1,1768
All Denmark,Total,69 years,Immigrants from non-western countries,2017Q1,1607
All Denmark,Total,7 years,Immigrants from non-western countries,2017Q1,1969
All Denmark,Total,70 years,Immigrants from non-western countries,2017Q1,1444
All Denmark,Total,71 years,Immigrants from non-western countries,2017Q1,1373
All Denmark,Total,72 years,Immigrants from non-western countries,2017Q1,1156
All Denmark,Total,73 years,Immigrants from non-western countries,2017Q1,1076
All Denmark,Total,74 years,Immigrants from non-western countries,2017Q1,962
All Denmark,Total,75 years,Immigrants from non-western countries,2017Q1,844
All Denmark,Total,76 years,Immigrants from non-western countries,2017Q1,832
All Denmark,Total,77 years,Immigrants from non-western countries,2017Q1,724
All Denmark,Total,78 years,Immigrants from non-western countries,2017Q1,635
All Denmark,Total,79 years,Immigrants from non-western countries,2017Q1,549
All Denmark,Total,8 years,Immigrants from non-western countries,2017Q1,2090
All Denmark,Total,80 years,Immigrants from non-western countries,2017Q1,463
All Denmark,Total,81 years,Immigrants from non-western countries,2017Q1,457
All Denmark,Total,82 years,Immigrants from non-western countries,2017Q1,339
All Denmark,Total,83 years,Immigrants from non-western countries,2017Q1,324
All Denmark,Total,84 years,Immigrants from non-western countries,2017Q1,295
All Denmark,Total,85 years,Immigrants from non-western countries,2017Q1,243
All Denmark,Total,86 years,Immigrants from non-western countries,2017Q1,245
All Denmark,Total,87 years,Immigrants from non-western countries,2017Q1,185
All Denmark,Total,88 years,Immigrants from non-western countries,2017Q1,146
All Denmark,Total,89 years,Immigrants from non-western countries,2017Q1,126
All Denmark,Total,9 years,Immigrants from non-western countries,2017Q1,2012
All Denmark,Total,90 years,Immigrants from non-western countries,2017Q1,88
All Denmark,Total,91 years,Immigrants from non-western countries,2017Q1,97
All Denmark,Total,92 years,Immigrants from non-western countries,2017Q1,65
All Denmark,Total,93 years,Immigrants from non-western countries,2017Q1,47
All Denmark,Total,94 years,Immigrants from non-western countries,2017Q1,32
All Denmark,Total,95 years,Immigrants from non-western countries,2017Q1,20
All Denmark,Total,96 years,Immigrants from non-western countries,2017Q1,25
All Denmark,Total,97 years,Immigrants from non-western countries,2017Q1,6
All Denmark,Total,98 years,Immigrants from non-western countries,2017Q1,5
All Denmark,Total,99 years,Immigrants from non-western countries,2017Q1,5
All Denmark,Total,"Age, total",Immigrants from non-western countries,2017Q1,332874
All Denmark,Total,0 years,Immigrants from non-western countries,2018Q1,91
All Denmark,Total,1 year,Immigrants from non-western countries,2018Q1,388
All Denmark,Total,10 years,Immigrants from non-western countries,2018Q1,2154
All Denmark,Total,100 years,Immigrants from non-western countries,2018Q1,5
All Denmark,Total,102 years,Immigrants from non-western countries,2018Q1,5
All Denmark,Total,104 years,Immigrants from non-western countries,2018Q1,1
All Denmark,Total,106 years,Immigrants from non-western countries,2018Q1,1
All Denmark,Total,107 years,Immigrants from non-western countries,2018Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2018Q1,2034
All Denmark,Total,12 years,Immigrants from non-western countries,2018Q1,1950
All Denmark,Total,13 years,Immigrants from non-western countries,2018Q1,1841
All Denmark,Total,14 years,Immigrants from non-western countries,2018Q1,1754
All Denmark,Total,15 years,Immigrants from non-western countries,2018Q1,1708
All Denmark,Total,16 years,Immigrants from non-western countries,2018Q1,1858
All Denmark,Total,17 years,Immigrants from non-western countries,2018Q1,2181
All Denmark,Total,18 years,Immigrants from non-western countries,2018Q1,2493
All Denmark,Total,19 years,Immigrants from non-western countries,2018Q1,2964
All Denmark,Total,2 years,Immigrants from non-western countries,2018Q1,950
All Denmark,Total,20 years,Immigrants from non-western countries,2018Q1,3501
All Denmark,Total,21 years,Immigrants from non-western countries,2018Q1,3855
All Denmark,Total,22 years,Immigrants from non-western countries,2018Q1,4389
All Denmark,Total,23 years,Immigrants from non-western countries,2018Q1,5084
All Denmark,Total,24 years,Immigrants from non-western countries,2018Q1,5297
All Denmark,Total,25 years,Immigrants from non-western countries,2018Q1,6275
All Denmark,Total,26 years,Immigrants from non-western countries,2018Q1,6976
All Denmark,Total,27 years,Immigrants from non-western countries,2018Q1,7944
All Denmark,Total,28 years,Immigrants from non-western countries,2018Q1,8255
All Denmark,Total,29 years,Immigrants from non-western countries,2018Q1,8790
All Denmark,Total,3 years,Immigrants from non-western countries,2018Q1,1574
All Denmark,Total,30 years,Immigrants from non-western countries,2018Q1,8894
All Denmark,Total,31 years,Immigrants from non-western countries,2018Q1,8936
All Denmark,Total,32 years,Immigrants from non-western countries,2018Q1,9225
All Denmark,Total,33 years,Immigrants from non-western countries,2018Q1,9080
All Denmark,Total,34 years,Immigrants from non-western countries,2018Q1,8873
All Denmark,Total,35 years,Immigrants from non-western countries,2018Q1,8733
All Denmark,Total,36 years,Immigrants from non-western countries,2018Q1,8257
All Denmark,Total,37 years,Immigrants from non-western countries,2018Q1,8167
All Denmark,Total,38 years,Immigrants from non-western countries,2018Q1,7612
All Denmark,Total,39 years,Immigrants from non-western countries,2018Q1,7566
All Denmark,Total,4 years,Immigrants from non-western countries,2018Q1,1793
All Denmark,Total,40 years,Immigrants from non-western countries,2018Q1,7236
All Denmark,Total,41 years,Immigrants from non-western countries,2018Q1,7093
All Denmark,Total,42 years,Immigrants from non-western countries,2018Q1,6971
All Denmark,Total,43 years,Immigrants from non-western countries,2018Q1,7059
All Denmark,Total,44 years,Immigrants from non-western countries,2018Q1,6735
All Denmark,Total,45 years,Immigrants from non-western countries,2018Q1,6834
All Denmark,Total,46 years,Immigrants from non-western countries,2018Q1,6332
All Denmark,Total,47 years,Immigrants from non-western countries,2018Q1,7073
All Denmark,Total,48 years,Immigrants from non-western countries,2018Q1,6724
All Denmark,Total,49 years,Immigrants from non-western countries,2018Q1,6782
All Denmark,Total,5 years,Immigrants from non-western countries,2018Q1,1981
All Denmark,Total,50 years,Immigrants from non-western countries,2018Q1,6229
All Denmark,Total,51 years,Immigrants from non-western countries,2018Q1,6275
All Denmark,Total,52 years,Immigrants from non-western countries,2018Q1,6255
All Denmark,Total,53 years,Immigrants from non-western countries,2018Q1,6078
All Denmark,Total,54 years,Immigrants from non-western countries,2018Q1,5597
All Denmark,Total,55 years,Immigrants from non-western countries,2018Q1,5423
All Denmark,Total,56 years,Immigrants from non-western countries,2018Q1,4811
All Denmark,Total,57 years,Immigrants from non-western countries,2018Q1,4963
All Denmark,Total,58 years,Immigrants from non-western countries,2018Q1,4138
All Denmark,Total,59 years,Immigrants from non-western countries,2018Q1,3947
All Denmark,Total,6 years,Immigrants from non-western countries,2018Q1,2046
All Denmark,Total,60 years,Immigrants from non-western countries,2018Q1,3488
All Denmark,Total,61 years,Immigrants from non-western countries,2018Q1,3483
All Denmark,Total,62 years,Immigrants from non-western countries,2018Q1,3133
All Denmark,Total,63 years,Immigrants from non-western countries,2018Q1,2800
All Denmark,Total,64 years,Immigrants from non-western countries,2018Q1,2563
All Denmark,Total,65 years,Immigrants from non-western countries,2018Q1,2381
All Denmark,Total,66 years,Immigrants from non-western countries,2018Q1,2005
All Denmark,Total,67 years,Immigrants from non-western countries,2018Q1,2043
All Denmark,Total,68 years,Immigrants from non-western countries,2018Q1,1822
All Denmark,Total,69 years,Immigrants from non-western countries,2018Q1,1748
All Denmark,Total,7 years,Immigrants from non-western countries,2018Q1,2063
All Denmark,Total,70 years,Immigrants from non-western countries,2018Q1,1585
All Denmark,Total,71 years,Immigrants from non-western countries,2018Q1,1428
All Denmark,Total,72 years,Immigrants from non-western countries,2018Q1,1352
All Denmark,Total,73 years,Immigrants from non-western countries,2018Q1,1118
All Denmark,Total,74 years,Immigrants from non-western countries,2018Q1,1042
All Denmark,Total,75 years,Immigrants from non-western countries,2018Q1,928
All Denmark,Total,76 years,Immigrants from non-western countries,2018Q1,820
All Denmark,Total,77 years,Immigrants from non-western countries,2018Q1,804
All Denmark,Total,78 years,Immigrants from non-western countries,2018Q1,702
All Denmark,Total,79 years,Immigrants from non-western countries,2018Q1,605
All Denmark,Total,8 years,Immigrants from non-western countries,2018Q1,2150
All Denmark,Total,80 years,Immigrants from non-western countries,2018Q1,521
All Denmark,Total,81 years,Immigrants from non-western countries,2018Q1,439
All Denmark,Total,82 years,Immigrants from non-western countries,2018Q1,426
All Denmark,Total,83 years,Immigrants from non-western countries,2018Q1,319
All Denmark,Total,84 years,Immigrants from non-western countries,2018Q1,297
All Denmark,Total,85 years,Immigrants from non-western countries,2018Q1,267
All Denmark,Total,86 years,Immigrants from non-western countries,2018Q1,224
All Denmark,Total,87 years,Immigrants from non-western countries,2018Q1,219
All Denmark,Total,88 years,Immigrants from non-western countries,2018Q1,162
All Denmark,Total,89 years,Immigrants from non-western countries,2018Q1,132
All Denmark,Total,9 years,Immigrants from non-western countries,2018Q1,2274
All Denmark,Total,90 years,Immigrants from non-western countries,2018Q1,109
All Denmark,Total,91 years,Immigrants from non-western countries,2018Q1,73
All Denmark,Total,92 years,Immigrants from non-western countries,2018Q1,79
All Denmark,Total,93 years,Immigrants from non-western countries,2018Q1,52
All Denmark,Total,94 years,Immigrants from non-western countries,2018Q1,38
All Denmark,Total,95 years,Immigrants from non-western countries,2018Q1,24
All Denmark,Total,96 years,Immigrants from non-western countries,2018Q1,17
All Denmark,Total,97 years,Immigrants from non-western countries,2018Q1,24
All Denmark,Total,98 years,Immigrants from non-western countries,2018Q1,4
All Denmark,Total,99 years,Immigrants from non-western countries,2018Q1,5
All Denmark,Total,"Age, total",Immigrants from non-western countries,2018Q1,343805
All Denmark,Total,0 years,Immigrants from non-western countries,2019Q1,100
All Denmark,Total,1 year,Immigrants from non-western countries,2019Q1,363
All Denmark,Total,10 years,Immigrants from non-western countries,2019Q1,2374
All Denmark,Total,100 years,Immigrants from non-western countries,2019Q1,2
All Denmark,Total,101 years,Immigrants from non-western countries,2019Q1,4
All Denmark,Total,103 years,Immigrants from non-western countries,2019Q1,3
All Denmark,Total,105 years,Immigrants from non-western countries,2019Q1,1
All Denmark,Total,108 years,Immigrants from non-western countries,2019Q1,1
All Denmark,Total,11 years,Immigrants from non-western countries,2019Q1,2244
All Denmark,Total,12 years,Immigrants from non-western countries,2019Q1,2144
All Denmark,Total,13 years,Immigrants from non-western countries,2019Q1,2016
All Denmark,Total,14 years,Immigrants from non-western countries,2019Q1,1908
All Denmark,Total,15 years,Immigrants from non-western countries,2019Q1,1844
All Denmark,Total,16 years,Immigrants from non-western countries,2019Q1,1871
All Denmark,Total,17 years,Immigrants from non-western countries,2019Q1,1922
All Denmark,Total,18 years,Immigrants from non-western countries,2019Q1,2285
All Denmark,Total,19 years,Immigrants from non-western countries,2019Q1,2654
All Denmark,Total,2 years,Immigrants from non-western countries,2019Q1,596
All Denmark,Total,20 years,Immigrants from non-western countries,2019Q1,3342
All Denmark,Total,21 years,Immigrants from non-western countries,2019Q1,3862
All Denmark,Total,22 years,Immigrants from non-western countries,2019Q1,4303
All Denmark,Total,23 years,Immigrants from non-western countries,2019Q1,4783
All Denmark,Total,24 years,Immigrants from non-western countries,2019Q1,5556
All Denmark,Total,25 years,Immigrants from non-western countries,2019Q1,5808
All Denmark,Total,26 years,Immigrants from non-western countries,2019Q1,6769
All Denmark,Total,27 years,Immigrants from non-western countries,2019Q1,7534
All Denmark,Total,28 years,Immigrants from non-western countries,2019Q1,8445
All Denmark,Total,29 years,Immigrants from non-western countries,2019Q1,8704
All Denmark,Total,3 years,Immigrants from non-western countries,2019Q1,1129
All Denmark,Total,30 years,Immigrants from non-western countries,2019Q1,9042
All Denmark,Total,31 years,Immigrants from non-western countries,2019Q1,8996
All Denmark,Total,32 years,Immigrants from non-western countries,2019Q1,9059
All Denmark,Total,33 years,Immigrants from non-western countries,2019Q1,9358
All Denmark,Total,34 years,Immigrants from non-western countries,2019Q1,9218
All Denmark,Total,35 years,Immigrants from non-western countries,2019Q1,8990
All Denmark,Total,36 years,Immigrants from non-western countries,2019Q1,8800
All Denmark,Total,37 years,Immigrants from non-western countries,2019Q1,8286
All Denmark,Total,38 years,Immigrants from non-western countries,2019Q1,8277
All Denmark,Total,39 years,Immigrants from non-western countries,2019Q1,7733
All Denmark,Total,4 years,Immigrants from non-western countries,2019Q1,1684
All Denmark,Total,40 years,Immigrants from non-western countries,2019Q1,7652
All Denmark,Total,41 years,Immigrants from non-western countries,2019Q1,7289
All Denmark,Total,42 years,Immigrants from non-western countries,2019Q1,7126
All Denmark,Total,43 years,Immigrants from non-western countries,2019Q1,7025
All Denmark,Total,44 years,Immigrants from non-western countries,2019Q1,7093
All Denmark,Total,45 years,Immigrants from non-western countries,2019Q1,6775
All Denmark,Total,46 years,Immigrants from non-western countries,2019Q1,6833
All Denmark,Total,47 years,Immigrants from non-western countries,2019Q1,6366
All Denmark,Total,48 years,Immigrants from non-western countries,2019Q1,7075
All Denmark,Total,49 years,Immigrants from non-western countries,2019Q1,6723
All Denmark,Total,5 years,Immigrants from non-western countries,2019Q1,1940
All Denmark,Total,50 years,Immigrants from non-western countries,2019Q1,6822
All Denmark,Total,51 years,Immigrants from non-western countries,2019Q1,6246
All Denmark,Total,52 years,Immigrants from non-western countries,2019Q1,6267
All Denmark,Total,53 years,Immigrants from non-western countries,2019Q1,6259
All Denmark,Total,54 years,Immigrants from non-western countries,2019Q1,6085
All Denmark,Total,55 years,Immigrants from non-western countries,2019Q1,5571
All Denmark,Total,56 years,Immigrants from non-western countries,2019Q1,5422
All Denmark,Total,57 years,Immigrants from non-western countries,2019Q1,4801
All Denmark,Total,58 years,Immigrants from non-western countries,2019Q1,4938
All Denmark,Total,59 years,Immigrants from non-western countries,2019Q1,4144
All Denmark,Total,6 years,Immigrants from non-western countries,2019Q1,2093
All Denmark,Total,60 years,Immigrants from non-western countries,2019Q1,3919
All Denmark,Total,61 years,Immigrants from non-western countries,2019Q1,3467
All Denmark,Total,62 years,Immigrants from non-western countries,2019Q1,3459
All Denmark,Total,63 years,Immigrants from non-western countries,2019Q1,3115
All Denmark,Total,64 years,Immigrants from non-western countries,2019Q1,2763
All Denmark,Total,65 years,Immigrants from non-western countries,2019Q1,2547
All Denmark,Total,66 years,Immigrants from non-western countries,2019Q1,2353
All Denmark,Total,67 years,Immigrants from non-western countries,2019Q1,1977
All Denmark,Total,68 years,Immigrants from non-western countries,2019Q1,2016
All Denmark,Total,69 years,Immigrants from non-western countries,2019Q1,1792
All Denmark,Total,7 years,Immigrants from non-western countries,2019Q1,2145
All Denmark,Total,70 years,Immigrants from non-western countries,2019Q1,1726
All Denmark,Total,71 years,Immigrants from non-western countries,2019Q1,1554
All Denmark,Total,72 years,Immigrants from non-western countries,2019Q1,1396
All Denmark,Total,73 years,Immigrants from non-western countries,2019Q1,1323
All Denmark,Total,74 years,Immigrants from non-western countries,2019Q1,1088
All Denmark,Total,75 years,Immigrants from non-western countries,2019Q1,1021
All Denmark,Total,76 years,Immigrants from non-western countries,2019Q1,895
All Denmark,Total,77 years,Immigrants from non-western countries,2019Q1,790
All Denmark,Total,78 years,Immigrants from non-western countries,2019Q1,770
All Denmark,Total,79 years,Immigrants from non-western countries,2019Q1,672
All Denmark,Total,8 years,Immigrants from non-western countries,2019Q1,2159
All Denmark,Total,80 years,Immigrants from non-western countries,2019Q1,578
All Denmark,Total,81 years,Immigrants from non-western countries,2019Q1,496
All Denmark,Total,82 years,Immigrants from non-western countries,2019Q1,411
All Denmark,Total,83 years,Immigrants from non-western countries,2019Q1,387
All Denmark,Total,84 years,Immigrants from non-western countries,2019Q1,298
All Denmark,Total,85 years,Immigrants from non-western countries,2019Q1,266
All Denmark,Total,86 years,Immigrants from non-western countries,2019Q1,232
